"","caseid","commonweight","age","gender","race_eth","education","marital","employment","device","republican","public_ins","public_option"
"62",1028702877,2.87776113232268,53,"Male","Black","College graduate or higher","Never married","Disabled","Smartphone",0,1,1
"63",1028712145,0.817723062640034,80,"Male","White","College graduate or higher","Married","Retired","Computer",1,1,0
"64",1028373951,0.432144770138161,47,"Female","Other","College graduate or higher","Married","Employed","Smartphone",0,0,0
"65",1028235595,0.439817039121454,32,"Female","Black","College graduate or higher","Never married","Other","Computer",0,1,0
"66",1028565455,1.40313492098708,40,"Male","White","Some college or 2-year degree","Never married","Unemployed","Smartphone",0,1,1
"67",1028507617,0.735927732920566,52,"Male","White","College graduate or higher","Married","Employed","Computer",0,0,1
"68",1028710889,0.711489853543805,67,"Female","White","Some college or 2-year degree","Married","Retired","Computer",1,1,0
"69",1028709867,0.871957992080679,68,"Male","White","Some college or 2-year degree","Married","Retired","Computer",0,1,0
"70",1028710101,1.28103142593816,70,"Male","White","Some college or 2-year degree","Married","Retired","Computer",0,1,1
"71",1028710393,0.398230532468438,40,"Female","White","High school graduate","Never married","Other","Smartphone",0,1,1
"72",1028710909,2.06408483717921,46,"Male","White","College graduate or higher","Married","Employed","Computer",0,0,0
"73",1028710229,0.628807550702573,79,"Male","White","College graduate or higher","Married","Retired","Computer",0,1,1
"74",1028784643,0.888890217271679,63,"Male","White","College graduate or higher","Married","Employed","Computer",1,0,0
"75",1027661449,0.180373650080901,74,"Male","Hispanic/Latino","Some college or 2-year degree","Married","Retired","Smartphone",1,1,0
"76",1028785165,0.268557446404186,42,"Female","Hispanic/Latino","College graduate or higher","Married","Other","Smartphone",0,0,1
"77",1028786179,2.15607098033765,61,"Male","Black","Less than high school","Never married","Employed","Smartphone",0,0,1
"78",1026471193,1.07441012126368,64,"Male","White","Some college or 2-year degree","Married","Disabled","Tablet",1,1,1
"79",1028565647,0.495104826639053,39,"Female","White","Some college or 2-year degree","Married","Employed","Computer",0,0,1
"80",1028474909,0.336838449077248,55,"Male","Hispanic/Latino","Some college or 2-year degree","Married","Employed","Tablet",0,0,1
"81",1028786079,0.635021721858851,40,"Female","White","College graduate or higher","Never married","Employed","Computer",0,0,1
"82",1027546917,0.830526360202559,50,"Male","Hispanic/Latino","College graduate or higher","Married","Employed","Computer",0,0,1
"83",1028626801,0.978462924699482,50,"Female","Other","High school graduate","Never married","Other","Smartphone",0,0,1
"84",1028581161,1.17173670156585,59,"Female","White","Some college or 2-year degree","Widowed","Disabled","Smartphone",1,1,0
"85",1028709933,0.9045870875977,64,"Male","White","College graduate or higher","Married","Retired","Smartphone",0,0,1
"86",1028710965,1.22149351011525,56,"Female","White","College graduate or higher","Married","Other","Smartphone",0,0,1
"87",1028785083,1.10243568633549,71,"Male","White","College graduate or higher","Married","Retired","Tablet",0,1,1
"88",1028208703,0.861192382142921,50,"Male","White","Some college or 2-year degree","Married","Employed","Computer",1,0,0
"89",1028354115,1.06775693977222,89,"Male","White","Some college or 2-year degree","Married","Retired","Computer",1,1,1
"90",1027645381,0.868688410449686,72,"Female","White","College graduate or higher","Widowed","Retired","Computer",0,1,0
"91",1028712007,3.56349622128128,67,"Male","Black","Some college or 2-year degree","Married","Retired","Tablet",0,0,1
"92",1028743439,0.241581260579527,27,"Female","Hispanic/Latino","College graduate or higher","Never married","Employed","Smartphone",0,1,1
"93",1028711055,0.617171375716654,48,"Male","White","College graduate or higher","Married","Employed","Smartphone",0,1,1
"94",1028784607,0.637231931686571,72,"Male","White","College graduate or higher","Married","Retired","Computer",0,1,1
"95",1028784867,1.04162391837848,70,"Female","White","Some college or 2-year degree","Widowed","Retired","Smartphone",1,1,0
"96",1028702053,0.375709476780036,35,"Female","White","Some college or 2-year degree","Married","Other","Smartphone",0,0,1
"97",1028784843,0.92978475950465,59,"Female","White","College graduate or higher","Married","Employed","Computer",1,0,0
"98",1028709737,1.34452532933414,31,"Male","White","High school graduate","Separated","Unemployed","Computer",1,0,1
"99",1028784623,0.700718737820342,53,"Female","White","College graduate or higher","Married","Employed","Computer",0,0,0
"100",1028743409,0.579641503684015,73,"Female","White","High school graduate","Married","Retired","Computer",0,1,1
"101",1028710643,1.36928277979918,37,"Male","White","College graduate or higher","Married","Employed","Smartphone",0,1,0
"102",1027931385,0.572140491548165,67,"Female","White","College graduate or higher","Married","Employed","Computer",1,0,1
"103",1028701693,0.0986841254943826,45,"Male","Other","Some college or 2-year degree","Married","Employed","Computer",0,0,1
"104",1028798465,1.85371757657455,76,"Male","White","Some college or 2-year degree","Married","Retired","Computer",1,1,0
"105",1028776965,1.22980948112472,78,"Male","White","College graduate or higher","Married","Retired","Computer",1,1,1
"106",1028813319,1.19448737221739,41,"Female","White","College graduate or higher","Never married","Employed","Smartphone",0,1,0
