ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,,
TN-067,Hancock County,Tennessee,0.74,7,-1.98,2.72,,
TN-069,Hardeman County,Tennessee,1.57,32,-1.39,2.96,,
TN-071,Hardin County,Tennessee,1.7,33,-1.25,2.95,,
TN-073,Hawkins County,Tennessee,0.86,11,-1.74,2.6,,
TN-075,Haywood County,Tennessee,1,12,-1.99,2.99,,
TN-077,Henderson County,Tennessee,0.82,7,-2.13,2.95,,
TN-079,Henry County,Tennessee,0.27,5,-2.67,2.94,,
TN-081,Hickman County,Tennessee,0.73,9,-2.19,2.92,,
TN-083,Houston County,Tennessee,0.54,8,-2.38,2.92,,
TN-085,Humphreys County,Tennessee,0.56,7,-2.37,2.93,,
TN-087,Jackson County,Tennessee,1.09,16,-1.97,3.06,,
TN-089,Jefferson County,Tennessee,0.73,11,-1.82,2.55,,
TN-091,Johnson County,Tennessee,1.48,23,-1.61,3.09,,
TN-093,Knox County,Tennessee,0.28,4,-2.63,2.91,,
TN-095,Lake County,Tennessee,1.01,12,-2.15,3.16,,
TN-097,Lauderdale County,Tennessee,0.97,10,-2.13,3.1,,
TN-099,Lawrence County,Tennessee,0.84,11,-2.38,3.22,,
TN-101,Lewis County,Tennessee,0.83,10,-2.21,3.04,,
TN-103,Lincoln County,Tennessee,0.48,8,-2.71,3.19,,
TN-105,Loudon County,Tennessee,0.17,4,-2.86,3.03,,
TN-107,McMinn County,Tennessee,0.13,4,-2.93,3.06,,
TN-109,McNairy County,Tennessee,1.81,39,-1.13,2.94,,
TN-111,Macon County,Tennessee,0.57,9,-2.54,3.11,,
TN-113,Madison County,Tennessee,1.07,15,-1.84,2.91,,
TN-115,Marion County,Tennessee,0.19,3,-3.38,3.57,,
TN-117,Marshall County,Tennessee,0.51,5,-2.68,3.19,,
TN-119,Maury County,Tennessee,0.38,6,-2.64,3.02,,
TN-121,Meigs County,Tennessee,0.08,3,-3.02,3.1,,
TN-123,Monroe County,Tennessee,0.35,4,-2.89,3.24,,
TN-125,Montgomery County,Tennessee,0.48,8,-2.37,2.85,,
TN-127,Moore County,Tennessee,0.57,8,-2.67,3.24,,
TN-129,Morgan County,Tennessee,0.37,4,-2.72,3.09,,
TN-131,Obion County,Tennessee,0.72,8,-2.35,3.07,,
TN-133,Overton County,Tennessee,1.37,22,-1.51,2.88,,
TN-135,Perry County,Tennessee,0.83,11,-2.17,3,,
TN-137,Pickett County,Tennessee,1.15,19,-1.69,2.84,,
TN-139,Polk County,Tennessee,0.2,4,-2.94,3.14,,
TN-141,Putnam County,Tennessee,0.94,15,-2.1,3.04,,
TN-143,Rhea County,Tennessee,0.12,2,-3.14,3.26,,
TN-145,Roane County,Tennessee,0.12,4,-2.89,3.01,,
TN-147,Robertson County,Tennessee,0.62,9,-2.24,2.86,,
TN-149,Rutherford County,Tennessee,0.48,6,-2.57,3.05,,
TN-151,Scott County,Tennessee,0.72,8,-2.3,3.02,,
TN-153,Sequatchie County,Tennessee,0.22,3,-3.28,3.5,,
TN-155,Sevier County,Tennessee,1.31,12,-2.02,3.33,,
TN-157,Shelby County,Tennessee,1.47,27,-1.59,3.06,,
TN-159,Smith County,Tennessee,0.51,8,-2.64,3.15,,
TN-161,Stewart County,Tennessee,0.48,5,-2.45,2.93,,
TN-163,Sullivan County,Tennessee,1.1,15,-1.54,2.64,,
TN-165,Sumner County,Tennessee,0.44,5,-2.51,2.95,,
TN-167,Tipton County,Tennessee,1.23,21,-1.92,3.15,,
TN-169,Trousdale County,Tennessee,0.32,4,-2.79,3.11,,
TN-171,Unicoi County,Tennessee,0.97,11,-2.18,3.15,,
TN-173,Union County,Tennessee,0.43,4,-2.59,3.02,,
TN-175,Van Buren County,Tennessee,0.56,9,-2.53,3.09,,
TN-177,Warren County,Tennessee,0.63,11,-2.45,3.08,,
TN-179,Washington County,Tennessee,0.89,12,-1.73,2.62,,
TN-181,Wayne County,Tennessee,1.57,28,-1.59,3.16,,
TN-183,Weakley County,Tennessee,0.34,5,-2.63,2.97,,
TN-185,White County,Tennessee,0.82,12,-2.2,3.02,,
TN-187,Williamson County,Tennessee,0.46,7,-2.48,2.94,,
TN-189,Wilson County,Tennessee,0.39,4,-2.71,3.1,,
TX-001,Anderson County,Texas,0.99,19,-2.56,3.55,,
TX-003,Andrews County,Texas,0.19,22,-1.35,1.54,,
TX-005,Angelina County,Texas,0.36,4,-3,3.36,,
TX-007,Aransas County,Texas,0.28,5,-3.27,3.55,,
TX-009,Archer County,Texas,2.62,70,-0.25,2.87,,
TX-011,Armstrong County,Texas,0.32,15,-1.46,1.78,,
TX-013,Atascosa County,Texas,0.13,5,-2.37,2.5,,
TX-015,Austin County,Texas,0.52,8,-3.18,3.7,,
TX-017,Bailey County,Texas,0.53,37,-0.98,1.51,,
TX-019,Bandera County,Texas,0.32,10,-2.91,3.23,,
TX-021,Bastrop County,Texas,0.5,14,-2.95,3.45,,
TX-023,Baylor County,Texas,2.57,72,-0.16,2.73,,
TX-025,Bee County,Texas,0.26,6,-2.67,2.93,,
TX-027,Bell County,Texas,0.36,9,-2.85,3.21,,
TX-029,Bexar County,Texas,0.22,6,-2.81,3.03,,
TX-031,Blanco County,Texas,0.11,3,-3.07,3.18,,
TX-033,Borden County,Texas,0.27,15,-1.6,1.87,,
TX-035,Bosque County,Texas,1.11,29,-1.81,2.92,,
TX-037,Bowie County,Texas,0.21,4,-3.36,3.57,,
TX-039,Brazoria County,Texas,0.88,16,-3.13,4.01,,
TX-041,Brazos County,Texas,1.57,30,-2.03,3.6,,
TX-043,Brewster County,Texas,0.39,33,-0.88,1.27,,
TX-045,Briscoe County,Texas,0.61,32,-1.18,1.79,,
TX-047,Brooks County,Texas,0.6,24,-1.59,2.19,,
TX-049,Brown County,Texas,1.03,28,-1.75,2.78,,
TX-051,Burleson County,Texas,1.6,33,-1.85,3.45,,
TX-053,Burnet County,Texas,0.09,3,-2.96,3.05,,
TX-055,Caldwell County,Texas,0.33,10,-3.01,3.34,,
TX-057,Calhoun County,Texas,0.42,10,-3.48,3.9,,
TX-059,Callahan County,Texas,2.05,54,-0.65,2.7,,
TX-061,Cameron County,Texas,0.59,11,-2.21,2.8,,
TX-063,Camp County,Texas,0.44,6,-3.17,3.61,,
TX-065,Carson County,Texas,0.2,10,-1.51,1.71,,
TX-067,Cass County,Texas,0.68,13,-2.79,3.47,,
TX-069,Castro County,Texas,0.31,17,-1.39,1.7,,
TX-071,Chambers County,Texas,0.33,7,-3.65,3.98,,
TX-073,Cherokee County,Texas,0.76,12,-2.75,3.51,,
TX-075,Childress County,Texas,0.45,19,-1.77,2.22,,
TX-077,Clay County,Texas,2.95,75,-0.25,3.2,,
TX-079,Cochran County,Texas,1.06,67,-0.51,1.57,,
TX-081,Coke County,Texas,0.23,11,-2.19,2.42,,
TX-083,Coleman County,Texas,0.77,22,-1.87,2.64,,
TX-085,Collin County,Texas,1.75,34,-1.96,3.71,,
TX-087,Collingsworth County,Texas,0.31,12,-1.91,2.22,,
TX-089,Colorado County,Texas,0.54,10,-3.18,3.72,,
TX-091,Comal County,Texas,0.17,5,-3.15,3.32,,
TX-093,Comanche County,Texas,1.13,30,-1.8,2.93,,
TX-095,Concho County,Texas,0.35,11,-2.14,2.49,,
TX-097,Cooke County,Texas,3.94,79,0.37,3.57,,
TX-099,Coryell County,Texas,0.21,7,-2.8,3.01,,
TX-101,Cottle County,Texas,0.92,39,-1.38,2.3,,
TX-103,Crane County,Texas,0.41,33,-1.07,1.48,,
TX-105,Crockett County,Texas,0.16,8,-1.83,1.99,,
TX-107,Crosby County,Texas,0.8,40,-1.24,2.04,,
TX-109,Culberson County,Texas,0.57,47,-0.55,1.12,,
TX-111,Dallam County,Texas,0.14,19,-1.09,1.23,,
TX-113,Dallas County,Texas,2.23,46,-1.27,3.5,,
TX-115,Dawson County,Texas,0.3,20,-1.45,1.75,,
TX-117,Deaf Smith County,Texas,0.16,11,-1.41,1.57,,
TX-119,Delta County,Texas,1.29,22,-2.44,3.73,,
TX-121,Denton County,Texas,2.67,59,-0.79,3.46,,
TX-123,DeWitt County,Texas,0.05,3,-3.33,3.38,,
TX-125,Dickens County,Texas,0.76,33,-1.49,2.25,,
TX-127,Dimmit County,Texas,0.07,7,-2.15,2.22,,
TX-129,Donley County,Texas,0.37,14,-1.62,1.99,,
TX-131,Duval County,Texas,0.66,25,-1.56,2.22,,
TX-133,Eastland County,Texas,2.28,59,-0.56,2.84,,
TX-135,Ector County,Texas,0.23,25,-1.27,1.5,,
TX-137,Edwards County,Texas,0.12,4,-2.4,2.52,,
TX-139,Ellis County,Texas,1.51,34,-1.87,3.38,,
TX-141,El Paso County,Texas,0.21,26,-0.61,0.82,,
TX-143,Erath County,Texas,1.76,45,-1.26,3.02,,
TX-145,Falls County,Texas,0.3,5,-3.04,3.34,,
TX-147,Fannin County,Texas,0.69,15,-2.97,3.66,,
TX-149,Fayette County,Texas,0.32,10,-3.22,3.54,,
TX-151,Fisher County,Texas,0.78,29,-1.46,2.24,,
TX-153,Floyd County,Texas,0.74,34,-1.21,1.95,,
TX-155,Foard County,Texas,1.56,57,-1.01,2.57,,
TX-157,Fort Bend County,Texas,0.92,17,-2.89,3.81,,
TX-159,Franklin County,Texas,0.74,14,-2.86,3.6,,
TX-161,Freestone County,Texas,0.84,15,-2.73,3.57,,
TX-163,Frio County,Texas,0.05,4,-2.39,2.44,,
TX-165,Gaines County,Texas,0.39,32,-1.22,1.61,,
TX-167,Galveston County,Texas,1.2,18,-2.75,3.95,,
TX-169,Garza County,Texas,0.3,18,-1.68,1.98,,
TX-171,Gillespie County,Texas,0.31,12,-2.69,3,,
TX-173,Glasscock County,Texas,0.24,13,-1.57,1.81,,
TX-175,Goliad County,Texas,0.09,3,-3.2,3.29,,
TX-177,Gonzales County,Texas,0.04,3,-3.27,3.31,,
TX-179,Gray County,Texas,0.14,8,-1.73,1.87,,
TX-181,Grayson County,Texas,1.7,35,-1.92,3.62,,
TX-183,Gregg County,Texas,1.2,21,-2.28,3.48,,
TX-185,Grimes County,Texas,0.92,19,-2.78,3.7,,
TX-187,Guadalupe County,Texas,0.16,3,-3.17,3.33,,
TX-189,Hale County,Texas,0.46,25,-1.34,1.8,,
TX-191,Hall County,Texas,0.48,23,-1.52,2,,
TX-193,Hamilton County,Texas,0.62,18,-2.36,2.98,,
TX-195,Hansford County,Texas,0.35,22,-1.09,1.44,,
TX-197,Hardeman County,Texas,1.72,59,-0.81,2.53,,
TX-199,Hardin County,Texas,0.52,8,-3.57,4.09,,
TX-201,Harris County,Texas,0.52,9,-3.41,3.93,,
TX-203,Harrison County,Texas,1.41,24,-2.02,3.43,,
TX-205,Hartley County,Texas,0.07,4,-1.24,1.31,,
TX-207,Haskell County,Texas,2.18,74,-0.38,2.56,,
TX-209,Hays County,Texas,0.2,5,-3.17,3.37,,
TX-211,Hemphill County,Texas,0.1,6,-1.79,1.89,,
TX-213,Henderson County,Texas,1.45,21,-2.24,3.69,,
TX-215,Hidalgo County,Texas,0.58,18,-1.75,2.33,,
TX-217,Hill County,Texas,0.97,22,-2.19,3.16,,
TX-219,Hockley County,Texas,0.93,57,-0.77,1.7,,
TX-221,Hood County,Texas,2.28,59,-0.8,3.08,,
TX-223,Hopkins County,Texas,1.4,22,-2.3,3.7,,
TX-225,Houston County,Texas,0.69,15,-2.78,3.47,,
TX-227,Howard County,Texas,0.4,25,-1.35,1.75,,
TX-229,Hudspeth County,Texas,1.06,75,0.1,0.96,,
TX-231,Hunt County,Texas,1.51,27,-2.23,3.74,,
TX-233,Hutchinson County,Texas,0.34,17,-1.24,1.58,,
TX-235,Irion County,Texas,0.39,16,-1.74,2.13,,
TX-237,Jack County,Texas,3,79,-0.11,3.11,,
TX-239,Jackson County,Texas,0.46,11,-3.46,3.92,,
TX-241,Jasper County,Texas,0.37,5,-3.3,3.67,,
TX-243,Jeff Davis County,Texas,0.73,53,-0.58,1.31,,
TX-245,Jefferson County,Texas,0.55,10,-3.4,3.95,,
TX-247,Jim Hogg County,Texas,0.6,24,-1.41,2.01,,
TX-249,Jim Wells County,Texas,0.7,24,-1.86,2.56,,
TX-251,Johnson County,Texas,1.85,40,-1.33,3.18,,
TX-253,Jones County,Texas,1.93,67,-0.54,2.47,,
TX-255,Karnes County,Texas,0.03,3,-2.86,2.89,,
TX-257,Kaufman County,Texas,1.94,38,-1.79,3.73,,
TX-259,Kendall County,Texas,0.06,3,-3.18,3.24,,
TX-261,Kenedy County,Texas,0.42,12,-2.22,2.64,,
TX-263,Kent County,Texas,0.34,15,-1.83,2.17,,
TX-265,Kerr County,Texas,0.65,17,-2.44,3.09,,
TX-267,Kimble County,Texas,0.4,14,-2.22,2.62,,
TX-269,King County,Texas,0.86,34,-1.53,2.39,,
TX-271,Kinney County,Texas,0.04,3,-2.34,2.38,,
TX-273,Kleberg County,Texas,0.9,28,-1.78,2.68,,
TX-275,Knox County,Texas,1.72,65,-0.87,2.59,,
TX-277,Lamar County,Texas,1,18,-2.77,3.77,,
TX-279,Lamb County,Texas,0.61,37,-1.06,1.67,,
TX-281,Lampasas County,Texas,0.07,3,-2.81,2.88,,
TX-283,La Salle County,Texas,0.16,10,-1.98,2.14,,
TX-285,Lavaca County,Texas,0.19,5,-3.35,3.54,,
TX-287,Lee County,Texas,1.11,23,-2.34,3.45,,
TX-289,Leon County,Texas,0.47,8,-3.12,3.59,,
TX-291,Liberty County,Texas,0.43,7,-3.64,4.07,,
TX-293,Limestone County,Texas,0.4,5,-3.12,3.52,,
TX-295,Lipscomb County,Texas,0.1,5,-1.65,1.75,,
TX-297,Live Oak County,Texas,0.57,16,-2.03,2.6,,
TX-299,Llano County,Texas,0.16,6,-2.69,2.85,,
TX-301,Loving County,Texas,0.04,11,-1.23,1.27,,
TX-303,Lubbock County,Texas,0.72,40,-1.06,1.78,,
TX-305,Lynn County,Texas,0.4,23,-1.41,1.81,,
TX-307,McCulloch County,Texas,0.62,21,-1.97,2.59,,
TX-309,McLennan County,Texas,0.35,7,-2.78,3.13,,
TX-311,McMullen County,Texas,0.35,12,-1.81,2.16,,
TX-313,Madison County,Texas,0.76,17,-2.81,3.57,,
TX-315,Marion County,Texas,0.89,18,-2.55,3.44,,
TX-317,Martin County,Texas,0.31,26,-1.35,1.66,,
TX-319,Mason County,Texas,0.43,16,-2.31,2.74,,
TX-321,Matagorda County,Texas,0.61,13,-3.42,4.03,,
TX-323,Maverick County,Texas,0.14,14,-2,2.14,,
TX-325,Medina County,Texas,0.34,11,-2.54,2.88,,
TX-327,Menard County,Texas,0.17,6,-2.43,2.6,,
TX-329,Midland County,Texas,0.31,30,-1.31,1.62,,
TX-331,Milam County,Texas,0.78,16,-2.57,3.35,,
TX-333,Mills County,Texas,0.28,9,-2.62,2.9,,
TX-335,Mitchell County,Texas,0.23,11,-1.83,2.06,,
TX-337,Montague County,Texas,3.91,87,0.49,3.42,,
TX-339,Montgomery County,Texas,0.31,5,-3.51,3.82,,
TX-341,Moore County,Texas,0.31,23,-1.09,1.4,,
TX-343,Morris County,Texas,0.38,7,-3.22,3.6,,
TX-345,Motley County,Texas,1.02,44,-1.07,2.09,,
TX-347,Nacogdoches County,Texas,0.84,12,-2.49,3.33,,
TX-349,Navarro County,Texas,0.99,16,-2.52,3.51,,
TX-351,Newton County,Texas,0.23,4,-3.35,3.58,,
TX-353,Nolan County,Texas,0.39,14,-2.04,2.43,,
TX-355,Nueces County,Texas,0.73,18,-2.2,2.93,,
TX-357,Ochiltree County,Texas,0.1,5,-1.47,1.57,,
TX-359,Oldham County,Texas,0.05,4,-1.37,1.42,,
TX-361,Orange County,Texas,0.57,11,-3.38,3.95,,
TX-363,Palo Pinto County,Texas,1.96,53,-1.01,2.97,,
TX-365,Panola County,Texas,0.81,17,-2.58,3.39,,
TX-367,Parker County,Texas,1.76,47,-1.45,3.21,,
TX-369,Parmer County,Texas,0.14,13,-1.41,1.55,,
TX-371,Pecos County,Texas,0.35,23,-1.08,1.43,,
TX-373,Polk County,Texas,0.29,3,-3.51,3.8,,
TX-375,Potter County,Texas,0.21,10,-1.35,1.56,,
TX-377,Presidio County,Texas,0.65,51,-0.51,1.16,,
TX-379,Rains County,Texas,1.63,26,-2.15,3.78,,
TX-381,Randall County,Texas,0.25,12,-1.46,1.71,,
TX-383,Reagan County,Texas,0.18,12,-1.71,1.89,,
TX-385,Real County,Texas,0.4,12,-2.6,3,,
TX-387,Red River County,Texas,0.51,9,-3.28,3.79,,
TX-389,Reeves County,Texas,0.43,41,-0.75,1.18,,
TX-391,Refugio County,Texas,0.16,5,-3.27,3.43,,
TX-393,Roberts County,Texas,0.05,3,-1.65,1.7,,
TX-395,Robertson County,Texas,0.61,12,-2.94,3.55,,
TX-397,Rockwall County,Texas,1.8,33,-1.97,3.77,,
TX-399,Runnels County,Texas,0.8,24,-1.75,2.55,,
TX-401,Rusk County,Texas,0.85,15,-2.62,3.47,,
TX-403,Sabine County,Texas,0.09,4,-3.2,3.29,,
TX-405,San Augustine County,Texas,0.2,4,-3.09,3.29,,
TX-407,San Jacinto County,Texas,0.34,7,-3.54,3.88,,
TX-409,San Patricio County,Texas,0.46,7,-2.69,3.15,,
TX-411,San Saba County,Texas,0.32,12,-2.42,2.74,,
TX-413,Schleicher County,Texas,0.4,14,-2.02,2.42,,
TX-415,Scurry County,Texas,0.3,14,-1.81,2.11,,
TX-417,Shackelford County,Texas,3.03,88,0.4,2.63,,
TX-419,Shelby County,Texas,0.58,11,-2.69,3.27,,
TX-421,Sherman County,Texas,0.37,33,-0.95,1.32,,
TX-423,Smith County,Texas,1.07,17,-2.5,3.57,,
TX-425,Somervell County,Texas,2.26,56,-0.74,3,,
TX-427,Starr County,Texas,0.51,18,-1.41,1.92,,
TX-429,Stephens County,Texas,2.04,61,-0.66,2.7,,
TX-431,Sterling County,Texas,0.09,6,-2,2.09,,
TX-433,Stonewall County,Texas,0.79,30,-1.57,2.36,,
TX-435,Sutton County,Texas,0.05,2,-2.38,2.43,,
TX-437,Swisher County,Texas,0.41,25,-1.37,1.78,,
TX-439,Tarrant County,Texas,1.93,43,-1.34,3.27,,
TX-441,Taylor County,Texas,1.09,30,-1.41,2.5,,
TX-443,Terrell County,Texas,0.15,12,-1.31,1.46,,
TX-445,Terry County,Texas,0.76,50,-0.96,1.72,,
TX-447,Throckmorton County,Texas,2.69,84,0.01,2.68,,
TX-449,Titus County,Texas,0.44,9,-3.19,3.63,,
TX-451,Tom Green County,Texas,0.67,23,-1.67,2.34,,
TX-453,Travis County,Texas,0.26,7,-3.12,3.38,,
TX-455,Trinity County,Texas,0.51,6,-2.98,3.49,,
TX-457,Tyler County,Texas,0.38,5,-3.31,3.69,,
TX-459,Upshur County,Texas,0.71,12,-2.79,3.5,,
TX-461,Upton County,Texas,0.36,28,-1.29,1.65,,
TX-463,Uvalde County,Texas,0.1,5,-2.73,2.83,,
TX-465,Val Verde County,Texas,0.12,11,-1.81,1.93,,
TX-467,Van Zandt County,Texas,1.78,29,-1.97,3.75,,
TX-469,Victoria County,Texas,0.23,6,-3.38,3.61,,
TX-471,Walker County,Texas,0.64,13,-2.99,3.63,,
TX-473,Waller County,Texas,0.52,9,-3.21,3.73,,
TX-475,Ward County,Texas,0.16,22,-1.15,1.31,,
TX-477,Washington County,Texas,0.8,16,-2.73,3.53,,
TX-479,Webb County,Texas,0.26,11,-1.72,1.98,,
TX-481,Wharton County,Texas,0.56,11,-3.38,3.94,,
TX-483,Wheeler County,Texas,0.42,18,-1.68,2.1,,
TX-485,Wichita County,Texas,2.53,71,-0.44,2.97,,
TX-487,Wilbarger County,Texas,3.01,83,0.25,2.76,,
TX-489,Willacy County,Texas,0.36,8,-2.32,2.68,,
TX-491,Williamson County,Texas,0.26,7,-3.04,3.3,,
TX-493,Wilson County,Texas,0.09,2,-2.96,3.05,,
TX-495,Winkler County,Texas,0.05,9,-1.35,1.4,,
TX-497,Wise County,Texas,3,74,-0.33,3.33,,
TX-499,Wood County,Texas,1.26,20,-2.27,3.53,,
TX-501,Yoakum County,Texas,1.14,69,-0.45,1.59,,
TX-503,Young County,Texas,2.43,69,-0.32,2.75,,
TX-505,Zapata County,Texas,0.41,20,-1.34,1.75,,
TX-507,Zavala County,Texas,0.04,6,-2.34,2.38,,
UT-001,Beaver County,Utah,0.4,35,-0.69,1.09,,
UT-003,Box Elder County,Utah,2.06,116,1.06,1,,
UT-005,Cache County,Utah,4.29,117,2.02,2.27,,
UT-007,Carbon County,Utah,0.87,49,-0.54,1.41,,
UT-009,Daggett County,Utah,1.01,55,-0.39,1.4,,
UT-011,Davis County,Utah,1.9,60,-0.23,2.13,,
UT-013,Duchesne County,Utah,1.16,49,-0.45,1.61,,
UT-015,Emery County,Utah,0.64,56,-0.34,0.98,,
UT-017,Garfield County,Utah,0.65,53,-0.51,1.16,,
UT-019,Grand County,Utah,0.97,60,-0.36,1.33,,
UT-021,Iron County,Utah,0.64,47,-0.61,1.25,,
UT-023,Juab County,Utah,0.35,24,-0.7,1.05,,
UT-025,Kane County,Utah,0.64,54,-0.43,1.07,,
UT-027,Millard County,Utah,0.29,26,-0.61,0.9,,
UT-029,Morgan County,Utah,2.26,75,0.14,2.12,,
UT-031,Piute County,Utah,0.53,36,-0.73,1.26,,
UT-033,Rich County,Utah,2.48,111,1,1.48,,
UT-035,Salt Lake County,Utah,1.59,57,-0.23,1.82,,
UT-037,San Juan County,Utah,0.37,30,-0.84,1.21,,
UT-039,Sanpete County,Utah,0.81,34,-0.8,1.61,,
UT-041,Sevier County,Utah,0.43,22,-0.84,1.27,,
UT-043,Summit County,Utah,2.03,63,-0.11,2.14,,
UT-045,Tooele County,Utah,0.59,44,-0.32,0.91,,
UT-047,Uintah County,Utah,0.95,56,-0.29,1.24,,
UT-049,Utah County,Utah,1.27,48,-0.38,1.65,,
UT-051,Wasatch County,Utah,1.84,62,-0.17,2.01,,
UT-053,Washington County,Utah,0.63,54,-0.5,1.13,,
UT-055,Wayne County,Utah,0.72,62,-0.22,0.94,,
UT-057,Weber County,Utah,2.49,80,0.28,2.21,,
VT-001,Addison County,Vermont,2.65,50,-0.62,3.27,,
VT-003,Bennington County,Vermont,4.2,77,0.58,3.63,,
VT-005,Caledonia County,Vermont,3.63,73,0.11,3.52,,
VT-007,Chittenden County,Vermont,2.94,51,-0.43,3.37,,
VT-009,Essex County,Vermont,3.58,71,0.03,3.55,,
VT-011,Franklin County,Vermont,3.51,61,-0.19,3.7,,
VT-013,Grand Isle County,Vermont,3.74,86,0.72,3.02,,
VT-015,Lamoille County,Vermont,3.33,51,-0.5,3.83,,
VT-017,Orange County,Vermont,3.31,66,-0.04,3.35,,
VT-019,Orleans County,Vermont,3.8,68,0.02,3.78,,
VT-021,Rutland County,Vermont,3.99,82,0.6,3.39,,
VT-023,Washington County,Vermont,2.93,51,-0.59,3.52,,
VT-025,Windham County,Vermont,3.86,71,0.18,3.68,,
VT-027,Windsor County,Vermont,3.98,81,0.6,3.38,,
VA-001,Accomack County,Virginia,6.42,122,3.4,3.02,,
VA-003,Albemarle County,Virginia,2.05,44,-1.37,3.42,,
VA-005,Alleghany County,Virginia,3.05,71,0.05,3,,
VA-007,Amelia County,Virginia,4.36,96,1.15,3.21,,
VA-009,Amherst County,Virginia,2.82,62,-0.7,3.52,,
VA-011,Appomattox County,Virginia,4.47,97,1.3,3.17,,
VA-013,Arlington County,Virginia,0.87,10,-2.21,3.08,,
VA-015,Augusta County,Virginia,2.54,56,-0.63,3.17,,
VA-017,Bath County,Virginia,2.72,61,-0.32,3.04,,
VA-019,Bedford County,Virginia,4.08,82,0.65,3.43,,
VA-021,Bland County,Virginia,1.56,34,-1.23,2.79,,
VA-023,Botetourt County,Virginia,3.68,79,0.42,3.26,,
VA-025,Brunswick County,Virginia,5.46,118,2.43,3.03,,
VA-027,Buchanan County,Virginia,1.64,33,-1.13,2.77,,
VA-029,Buckingham County,Virginia,3.76,82,0.47,3.29,,
VA-031,Campbell County,Virginia,4.06,92,0.9,3.16,,
VA-033,Caroline County,Virginia,3.82,83,0.64,3.18,,
VA-035,Carroll County,Virginia,1.37,22,-2.13,3.5,,
VA-036,Charles City County,Virginia,4.84,107,1.82,3.02,,
VA-037,Charlotte County,Virginia,5.26,109,2.18,3.08,,
VA-041,Chesterfield County,Virginia,4.61,103,1.46,3.15,,
VA-043,Clarke County,Virginia,1.36,28,-1.76,3.12,,
VA-045,Craig County,Virginia,3.63,78,0.51,3.12,,
VA-047,Culpeper County,Virginia,1.42,29,-1.75,3.17,,
VA-049,Cumberland County,Virginia,3.75,86,0.5,3.25,,
VA-051,Dickenson County,Virginia,1.07,11,-1.52,2.59,,
VA-053,Dinwiddie County,Virginia,4.5,105,1.47,3.03,,
VA-057,Essex County,Virginia,4.02,88,0.95,3.07,,
VA-059,Fairfax County,Virginia,0.93,11,-2.2,3.13,,
VA-061,Fauquier County,Virginia,1.53,30,-1.67,3.2,,
VA-063,Floyd County,Virginia,2.8,53,-0.77,3.57,,
VA-065,Fluvanna County,Virginia,2.34,49,-0.99,3.33,,
VA-067,Franklin County,Virginia,4.88,99,1.39,3.49,,
VA-069,Frederick County,Virginia,1.61,35,-1.37,2.98,,
VA-071,Giles County,Virginia,1.99,46,-0.89,2.88,,
VA-073,Gloucester County,Virginia,6.1,119,3.12,2.98,,
VA-075,Goochland County,Virginia,3.2,69,-0.11,3.31,,
VA-077,Grayson County,Virginia,1.76,30,-1.55,3.31,,
VA-079,Greene County,Virginia,1.49,28,-1.99,3.48,,
VA-081,Greensville County,Virginia,6.07,123,3.21,2.86,,
VA-083,Halifax County,Virginia,5.49,113,2.42,3.07,,
VA-085,Hanover County,Virginia,4,85,0.79,3.21,,
VA-087,Henrico County,Virginia,4.45,97,1.3,3.15,,
VA-089,Henry County,Virginia,4.04,88,0.61,3.43,,
VA-091,Highland County,Virginia,3.8,90,0.65,3.15,,
VA-093,Isle of Wight County,Virginia,7.63,126,4.62,3.01,,
VA-095,James City County,Virginia,5.31,110,2.33,2.98,,
VA-097,King and Queen County,Virginia,4.6,98,1.56,3.04,,
VA-099,King George County,Virginia,3.15,71,0.08,3.07,,
VA-101,King William County,Virginia,4.37,92,1.29,3.08,,
VA-103,Lancaster County,Virginia,5.11,104,2.07,3.04,,
VA-105,Lee County,Virginia,0.88,7,-1.98,2.86,,
VA-107,Loudoun County,Virginia,0.93,9,-2.29,3.22,,
VA-109,Louisa County,Virginia,2.22,46,-1.07,3.29,,
VA-111,Lunenburg County,Virginia,5.05,112,1.94,3.11,,
VA-113,Madison County,Virginia,1.26,25,-2.19,3.45,,
VA-115,Mathews County,Virginia,6.6,125,3.6,3,,
VA-117,Mecklenburg County,Virginia,5.36,115,2.34,3.02,,
VA-119,Middlesex County,Virginia,5.29,111,2.28,3.01,,
VA-121,Montgomery County,Virginia,2.69,59,-0.36,3.05,,
VA-125,Nelson County,Virginia,2.99,62,-0.57,3.56,,
VA-127,New Kent County,Virginia,4.93,107,1.88,3.05,,
VA-131,Northampton County,Virginia,7.46,126,4.53,2.93,,
VA-133,Northumberland County,Virginia,4.44,98,1.41,3.03,,
VA-135,Nottoway County,Virginia,4.61,105,1.44,3.17,,
VA-137,Orange County,Virginia,1.55,33,-1.72,3.27,,
VA-139,Page County,Virginia,1.42,30,-1.79,3.21,,
VA-141,Patrick County,Virginia,2.59,50,-1.18,3.77,,
VA-143,Pittsylvania County,Virginia,4.9,102,1.71,3.19,,
VA-145,Powhatan County,Virginia,3.82,90,0.55,3.27,,
VA-147,Prince Edward County,Virginia,4.99,105,1.83,3.16,,
VA-149,Prince George County,Virginia,4.48,103,1.5,2.98,,
VA-153,Prince William County,Virginia,1.3,23,-1.82,3.12,,
