"","county_fips","year","rep_votes","all_votes","state","pc_rep","unemploy_rate","median_income","pc_uninsured","pop_over_18","turnout","med_inc_000s"
"53",1035,2016,3420,6585,"AL",51.9362186788155,20.4,27609,19.1,9877,66.6700415105801,27.609
"54",1035,2020,3442,6441,"AL",53.4389070020183,7.9,35444,10.4,9672,66.5942928039702,35.444
"55",1037,2012,3049,5269,"AL",57.8667678876447,13.8,37425,13.6,9021,58.4081587407161,37.425
"56",1037,2016,3381,5252,"AL",64.3754760091394,12.6,31910,12.6,8872,59.1974752028855,31.91
"57",1037,2020,3631,5479,"AL",66.2712173754335,2.6,43571,6.9,8933,61.3343781484384,43.571
"58",1039,2012,12153,15423,"AL",78.7978992413927,10.2,35321,15.1,29266,52.6993781179526,35.321
"59",1039,2016,13267,15940,"AL",83.2308657465496,10.7,37313,12.4,29411,54.1974091326375,37.313
"60",1039,2020,14586,17430,"AL",83.6833046471601,7.7,42566,10.7,29028,60.0454733360893,42.566
"61",1041,2012,4331,6418,"AL",67.4820816453724,8.6,37309,11.5,10645,60.2912165335838,37.309
"62",1041,2016,4513,6267,"AL",72.0121270145205,7.4,37557,11.3,10718,58.4717298003359,37.557
"63",1041,2020,4864,6617,"AL",73.5076318573372,4,42611,8.1,10742,61.5993297337553,42.611
"64",1043,2012,28999,34457,"AL",84.1599674957193,9.2,39244,15.6,61784,55.7701022918555,39.244
"65",1043,2016,32989,37873,"AL",87.1042695323845,6.1,39297,14.5,63037,60.0805875914146,39.297
"66",1043,2020,36880,41851,"AL",88.1221476189338,5,48388,11.6,64638,64.7467434017142,48.388
"67",1045,2012,13108,18557,"AL",70.6364175243843,8.8,45247,13.1,37758,49.1472005932518,45.247
"68",1045,2016,13808,18749,"AL",73.6465944850392,10.4,44093,13.1,37879,49.4970828163362,44.093
"69",1045,2020,14303,19738,"AL",72.4642820954504,9,45644,10.8,37964,51.9913602360131,45.644
"70",1047,2012,6288,20953,"AL",30.0100224311554,19.4,26178,16.8,32010,65.457669478288,26.178
"71",1047,2016,5789,18792,"AL",30.8056619838229,14.9,28136,12.5,30992,60.6350025813113,28.136
